fast,slow,signal,profit_factor,total_return,sharpe_ratio,win_rate
11,38,12,0.9709935268962743,-0.044954712490414786,-0.7112165006363511,0.4968994778067885
11,38,14,0.9667448304488848,-0.05165075157921382,-0.8171636866920519,0.4941253263707572
11,40,6,0.9645764890846331,-0.05531780968917508,-0.8741070259809932,0.49448051948051946
11,40,8,0.9755117072270961,-0.03786782769409342,-0.5990869304555829,0.496655245553924
11,40,10,0.9708798496135042,-0.04513619607204449,-0.7140848689265953,0.4974710393212596
11,40,12,0.9638089045271652,-0.05629476368459725,-0.89064558615127,0.49445169712793735
11,40,14,0.95998717237683,-0.06236077594642661,-0.9866313244327366,0.49281984334203655
11,42,6,0.9705036701899697,-0.04572800174790031,-0.7234484364188541,0.49518681677271986
11,42,8,0.9704295489241908,-0.045844636012206744,-0.7252938310125518,0.4948604992657856
11,42,10,0.967245201229562,-0.05086065365456927,-0.8046622422482883,0.4960835509138381
11,42,12,0.9604471298868064,-0.06162946033811756,-0.9750590982548166,0.4931462140992167
11,42,14,0.9593111582922464,-0.06343566716021869,-1.003640454863314,0.49143136934878406
11,44,6,0.9632049196539039,-0.05725528925423331,-0.9058403075934479,0.4932289117311144
11,44,8,0.9693146274697026,-0.04760009117426001,-0.7530689016807557,0.4955131342796541
11,44,10,0.9703906557873572,-0.045903092577421284,-0.7262218637939027,0.49657310704960833
11,44,12,0.9674719059188789,-0.0505028135919537,-0.7990002840777968,0.4934725848563969
11,44,14,0.9618636246926539,-0.05937890637456793,-0.9394471711391017,0.49143136934878406
11,46,6,0.9744269835519278,-0.03956693153090323,-0.625969260569298,0.49583945178658834
11,46,8,0.974764201805192,-0.039038515191908936,-0.6176089106958521,0.49730788056779246
11,46,10,0.9862467749550242,-0.021151289068778466,-0.3346179987428,0.49738903394255873
11,46,12,0.9743050420161359,-0.0397553200278051,-0.628952628988485,0.49371633752244165
11,46,14,0.9588177227380249,-0.06420237839429771,-1.0158770900885223,0.49183806725432583
11,48,6,0.9782846223390727,-0.033532821937031866,-0.5305016924930113,0.49502365801925274
11,48,8,0.9681030148478853,-0.04950707933131524,-0.7832452513306437,0.4964099216710183
11,48,10,0.9772983788219989,-0.03507116223304155,-0.5548424093387393,0.495757180156658
11,48,12,0.9691148325074154,-0.04791158231163439,-0.7580007295740169,0.4922474294108046
11,48,14,0.9635884739636897,-0.0566269525584594,-0.8959938119385068,0.4911851126346719
13,20,6,0.9764076219778823,-0.03667176716824721,-0.5791992114077357,0.4952180256119306
13,20,8,0.9787563593114162,-0.03297906233717133,-0.5208774234877557,0.49432555123216604
13,20,10,0.9871091481268762,-0.01992323822177295,-0.3146777399711927,0.49724294518326306
13,20,12,0.980900273020801,-0.02959941344966719,-0.46761167309857204,0.49764801297648015
13,20,14,0.9853776395402569,-0.022607103383984826,-0.3571497173314818,0.49870214146658015
13,22,6,0.9723505218754418,-0.04306302353450309,-0.6801561334877696,0.49286640726329445
13,22,8,0.9808132632857329,-0.029747989074234753,-0.4698595729275839,0.49432371067142394
13,22,10,0.9877175786530222,-0.018969150004199818,-0.2996715282923995,0.497323600973236
13,22,12,0.9762674854953588,-0.03670450183829784,-0.5806172307831803,0.4974726887330833
13,22,14,0.962499468475725,-0.0583739883021496,-0.9235418032492732,0.495349975526187
13,24,6,0.9771375951688989,-0.03552112372158176,-0.5610292272377054,0.49416342412451364
13,24,8,0.9743551447344556,-0.03987434243471862,-0.629944329376499,0.49505271695052716
13,24,10,0.9824097109337213,-0.027120698117064516,-0.4290085564631679,0.496820479373879
13,24,12,0.9781387254225237,-0.033760605341693777,-0.5341054799491982,0.49844999184206235
13,24,14,0.9742545718828862,-0.03983716797202936,-0.6302448202984617,0.4974710393212596
13,26,6,0.9760091338761401,-0.03727138549378596,-0.5888197575001821,0.4948905109489051
13,26,8,0.9824526596306261,-0.027054702292918738,-0.4279641102495268,0.49706553635474404
